clockTime	tick	w	a	s	d	mouse_x	mouse_y	is_fire	is_scope	is_jump	is_crouch	is_walking	is_reload	is_e	switch
01:55	34098	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:55	34106	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:55	34114	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:55	34122	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:55	34130	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:55	34138	1	0	0	1	22	16	0	0	0	0	0	0	0	0
01:55	34146	1	0	0	1	22	16	0	0	0	0	0	0	0	0
01:55	34154	1	0	0	1	22	16	0	0	0	0	0	0	0	0
01:55	34162	1	0	0	1	22	16	0	0	0	0	0	0	0	0
01:55	34170	1	0	0	1	25	16	0	0	0	0	0	0	0	0
01:55	34178	1	0	0	1	28	16	0	0	0	0	0	0	0	0
01:55	34186	1	0	0	1	26	16	0	0	0	0	0	0	0	0
01:55	34194	1	0	0	1	24	16	0	0	0	0	0	0	0	0
01:55	34202	1	0	0	1	23	16	0	0	0	0	0	0	0	0
01:55	34210	1	0	0	1	22	16	0	0	0	0	0	0	0	0
01:55	34218	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34226	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34234	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34242	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34250	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34258	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34266	1	0	0	0	23	17	0	0	0	0	0	0	0	0
01:54	34274	1	0	0	0	22	17	0	0	0	0	0	0	0	0
01:54	34282	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34290	1	0	0	0	22	16	0	0	0	0	0	0	0	0
01:54	34298	1	0	0	0	22	16	0	0	0	0	0	0	0	0
